	sameAs.nde:Dataset	sameAs.owl:cardinality	sameAs.marginality	sameAs.domainIncludes	sameAs.rangeIncludes	sameAs.url
0	date	one	minimal or required	['nde:Dataset', 'nde:ComputationalTool']	schema:Date	https://discovery.biothings.io/view/nde/date
1	includedInDataCatalog	one	minimal or required	nde:ComputationalTool	schema:DataCatalog	https://discovery.biothings.io/view/nde/includedInDataCatalog
2	citedBy	many	recommended	['nde:Dataset', 'nde:ComputationalTool']	schema:ScholarlyArticle	https://discovery.biothings.io/view/nde/citedBy
3	doi	one	recommended	['nde:Dataset', 'nde:ComputationalTool']	schema:Text	https://discovery.biothings.io/view/nde/doi
4	topicCategory	many	recommended	['nde:Dataset', 'nde:ComputationalTool']	schema:Text	https://discovery.biothings.io/view/nde/topicCategory
5	isRelatedTo	many	optional	['nde:Dataset', 'nde:ComputationalTool']	nde:ComputationalTool	https://discovery.biothings.io/view/nde/isRelatedTo
6	isSimilarTo	many	optional	['nde:Dataset', 'nde:ComputationalTool']	nde:ComputationalTool	https://discovery.biothings.io/view/nde/isSimilarTo
7	isBasisFor	many	optional	['nde:Dataset', 'nde:ComputationalTool']	nde:ComputationalTool	https://discovery.biothings.io/view/nde/isBasisFor
8	nctid	many	optional	nde:Dataset	schema:Text	https://discovery.biothings.io/view/nde/nctid
9	relationship	one	optional	nde:Dataset	schema:Text	https://discovery.biothings.io/view/nde/relationship
10	funding	many	minimal or required	['niaid:Dataset', 'niaid:ComputationalTool']	niaid:MonetaryGrant	https://discovery.biothings.io/view/niaid/funding
11	infectiousAgent	many	recommended	['niaid:Dataset', 'niaid:ComputationalTool']	['schema:Text', 'schema:DefinedTerm']	https://discovery.biothings.io/view/niaid/infectiousAgent
12	healthCondition	many	recommended	['niaid:Dataset', 'niaid:ComputationalTool']	['schema:Text', 'schema:DefinedTerm']	https://discovery.biothings.io/view/niaid/healthCondition
13	species	many	recommended	['niaid:Dataset', 'niaid:ComputationalTool']	['schema:Text', 'schema:DefinedTerm']	https://discovery.biothings.io/view/niaid/species
14	distribution	many	minimal or required	schema:Dataset	schema:DataDownload	https://schema.org/distribution
15	measurementTechnique	many	minimal or required	['schema:PropertyValue', 'schema:DataCatalog', 'schema:Dataset', 'schema:DataDownload']	['schema:Text', 'schema:URL']	https://schema.org/measurementTechnique
16	author	many	minimal or required	['schema:CreativeWork', 'schema:Rating']	['schema:Person', 'schema:Organization']	https://schema.org/author
17	description	one	minimal or required	schema:Thing	schema:Text	https://schema.org/description
18	name	one	minimal or required	schema:Thing	schema:Text	https://schema.org/name
19	url	one	minimal or required	schema:Thing	schema:URL	https://schema.org/url
20	variableMeasured	many	recommended	schema:Dataset	['schema:PropertyValue', 'schema:Text']	https://schema.org/variableMeasured
21	citation	many	recommended	schema:CreativeWork	['schema:CreativeWork', 'schema:Text']	https://schema.org/citation
22	conditionsOfAccess	one	recommended	schema:CreativeWork	schema:Text	https://schema.org/conditionsOfAccess
23	dateCreated	one	recommended	['schema:DataFeedItem', 'schema:CreativeWork']	['schema:Date', 'schema:DateTime']	https://schema.org/dateCreated
24	dateModified	one	recommended	['schema:DataFeedItem', 'schema:CreativeWork']	['schema:DateTime', 'schema:Date']	https://schema.org/dateModified
25	datePublished	one	recommended	schema:CreativeWork	['schema:Date', 'schema:DateTime']	https://schema.org/datePublished
26	interactionStatistic	many	recommended	['schema:Person', 'schema:Organization', 'schema:CreativeWork']	schema:InteractionCounter	https://schema.org/interactionStatistic
27	isBasedOn	many	recommended	schema:CreativeWork	['schema:CreativeWork', 'schema:URL', 'schema:Product']	https://schema.org/isBasedOn
28	keywords	many	recommended	['schema:Place', 'schema:CreativeWork', 'schema:Organization', 'schema:Product', 'schema:Event']	['schema:DefinedTerm', 'schema:Text', 'schema:URL']	https://schema.org/keywords
29	license	one	recommended	schema:CreativeWork	['schema:URL', 'schema:CreativeWork']	https://schema.org/license
30	sdPublisher	many	recommended	schema:CreativeWork	['schema:Organization', 'schema:Person']	https://schema.org/sdPublisher
31	spatialCoverage	many	recommended	schema:CreativeWork	schema:Place	https://schema.org/spatialCoverage
32	temporalCoverage	many	recommended	schema:CreativeWork	['schema:URL', 'schema:DateTime', 'schema:Text']	https://schema.org/temporalCoverage
33	usageInfo	many	recommended	schema:CreativeWork	['schema:CreativeWork', 'schema:URL']	https://schema.org/usageInfo
34	identifier	many	recommended	schema:Thing	['schema:URL', 'schema:Text', 'schema:PropertyValue']	https://schema.org/identifier
35	abstract	one	optional	schema:CreativeWork	schema:Text	https://schema.org/abstract
36	aggregateRating	many	optional	['schema:Brand', 'schema:CreativeWork', 'schema:Place', 'schema:Product', 'schema:Event', 'schema:Offer', 'schema:Service', 'schema:Organization']	schema:AggregateRating	https://schema.org/aggregateRating
37	creator	many	optional	['schema:CreativeWork', 'schema:UserComments']	['schema:Organization', 'schema:Person']	https://schema.org/creator
38	hasPart	many	optional	schema:CreativeWork	schema:CreativeWork	https://schema.org/hasPart
39	inLanguage	many	optional	['schema:CommunicateAction', 'schema:BroadcastService', 'schema:Event', 'schema:CreativeWork', 'schema:LinkRole', 'schema:PronounceableText', 'schema:WriteAction']	['schema:Text', 'schema:Language']	https://schema.org/inLanguage
40	isAccessibleForFree	one	optional	['schema:Place', 'schema:Event', 'schema:CreativeWork']	schema:Boolean	https://schema.org/isAccessibleForFree
41	isPartOf	many	optional	schema:CreativeWork	['schema:URL', 'schema:CreativeWork']	https://schema.org/isPartOf
42	version	one	optional	schema:CreativeWork	['schema:Number', 'schema:Text']	https://schema.org/version
43	alternateName	many	optional	schema:Thing	schema:Text	https://schema.org/alternateName
44	mainEntityOfPage	many	optional	schema:Thing	['schema:CreativeWork', 'schema:URL']	https://schema.org/mainEntityOfPage
45	sameAs	many	optional	schema:Thing	schema:URL	https://schema.org/sameAs
