	sameAs.outbreak:ComputationalTool	sameAs.owl:cardinality	sameAs.marginality	sameAs.domainIncludes	sameAs.rangeIncludes	sameAs.url
0	author	Unspecified	minimal or required	['outbreak:Analysis', 'outbreak:Dataset', 'outbreak:Protocol', 'outbreak:Publication', 'outbreak:ClinicalTrial', 'outbreak:ComputationalTool']	['outbreak:Person', 'outbreak:Organization']	https://discovery.biothings.io/view/outbreak/author
1	funding	Unspecified	minimal or required	['outbreak:Dataset', 'outbreak:Publication', 'outbreak:Analysis', 'outbreak:Protocol', 'outbreak:ClinicalTrial', 'outbreak:ComputationalTool']	schema:MonetaryGrant	https://discovery.biothings.io/view/outbreak/funding
2	topicCategory	Unspecified	recommended	['outbreak:Dataset', 'outbreak:Publication', 'outbreak:Analysis', 'outbreak:Protocol', 'outbreak:ClinicalTrial', 'outbreak:ComputationalTool']	schema:Text	https://discovery.biothings.io/view/outbreak/topicCategory
3	keywords	Unspecified	recommended	['outbreak:Analysis', 'outbreak:Dataset', 'outbreak:Protocol', 'outbreak:Publication', 'outbreak:ClinicalTrial', 'outbreak:ComputationalTool']	schema:Text	https://discovery.biothings.io/view/outbreak/keywords
4	curatedBy	Unspecified	recommended	['outbreak:Dataset', 'outbreak:Publication', 'outbreak:Analysis', 'outbreak:Protocol', 'outbreak:ClinicalTrial', 'outbreak:ComputationalTool']	['outbreak:Person', 'outbreak:Organization', 'outbreak:CitationObject', 'outbreak:Dataset', 'outbreak:Publication', 'outbreak:Analysis', 'outbreak:Protocol', 'outbreak:ClinicalTrial', 'schema:SoftwareApplication', 'schema:CreativeWork', 'outbreak:ComputationalTool']	https://discovery.biothings.io/view/outbreak/curatedBy
5	dateModified	Unspecified	recommended	['outbreak:Analysis', 'outbreak:Dataset', 'outbreak:Protocol', 'outbreak:Publication', 'outbreak:ClinicalTrial', 'outbreak:ComputationalTool']	schema:Date	https://discovery.biothings.io/view/outbreak/dateModified
6	codeRepository	Unspecified	recommended	outbreak:ComputationalTool	schema:URL	https://discovery.biothings.io/view/outbreak/codeRepository
7	species	Unspecified	optional	['outbreak:Dataset', 'outbreak:Analysis', 'outbreak:ComputationalTool']	['schema:Text', 'schema:DefinedTerm']	https://discovery.biothings.io/view/outbreak/species
8	infectiousAgent	Unspecified	optional	['outbreak:Dataset', 'outbreak:Analysis', 'outbreak:ComputationalTool']	['schema:Text', 'schema:DefinedTerm']	https://discovery.biothings.io/view/outbreak/infectiousAgent
9	infectiousDisease	Unspecified	optional	['outbreak:Dataset', 'outbreak:Analysis', 'outbreak:ComputationalTool']	['schema:Text', 'schema:DefinedTerm']	https://discovery.biothings.io/view/outbreak/infectiousDisease
10	doi	Unspecified	optional	['outbreak:CitationObject', 'outbreak:Correction', 'outbreak:Dataset', 'outbreak:Publication', 'outbreak:Analysis', 'outbreak:Protocol', 'outbreak:ComputationalTool']	schema:Text	https://discovery.biothings.io/view/outbreak/doi
11	programmingLanguage	Unspecified	optional	outbreak:ComputationalTool	['schema:Text', 'schema:ComputerLanguage']	https://discovery.biothings.io/view/outbreak/programmingLanguage
12	isBasedOn	Unspecified	optional	['outbreak:Dataset', 'outbreak:Publication', 'outbreak:Analysis', 'outbreak:Protocol', 'outbreak:ClinicalTrial', 'outbreak:ComputationalTool']	['outbreak:CitationObject', 'outbreak:Dataset', 'outbreak:Publication', 'outbreak:Analysis', 'outbreak:Protocol', 'outbreak:ClinicalTrial', 'schema:SoftwareApplication', 'schema:CreativeWork', 'outbreak:ComputationalTool']	https://discovery.biothings.io/view/outbreak/isBasedOn
13	isRelatedTo	Unspecified	optional	['outbreak:Dataset', 'outbreak:Publication', 'outbreak:Analysis', 'outbreak:Protocol', 'outbreak:ClinicalTrial', 'outbreak:ComputationalTool']	['outbreak:CitationObject', 'outbreak:Dataset', 'outbreak:Publication', 'outbreak:Analysis', 'outbreak:Protocol', 'outbreak:ClinicalTrial', 'schema:SoftwareApplication', 'schema:CreativeWork', 'outbreak:ComputationalTool']	https://discovery.biothings.io/view/outbreak/isRelatedTo
14	citedBy	Unspecified	optional	['outbreak:Dataset', 'outbreak:Publication', 'outbreak:Analysis', 'outbreak:Protocol', 'outbreak:ClinicalTrial', 'outbreak:ComputationalTool']	['outbreak:CitationObject', 'outbreak:Dataset', 'outbreak:Publication', 'outbreak:Analysis', 'outbreak:Protocol', 'outbreak:ClinicalTrial', 'schema:SoftwareApplication', 'schema:CreativeWork', 'outbreak:ComputationalTool']	https://discovery.biothings.io/view/outbreak/citedBy
15	evaluations	Unspecified	optional	['outbreak:Dataset', 'outbreak:Publication', 'outbreak:Analysis', 'outbreak:Protocol', 'outbreak:ClinicalTrial', 'outbreak:ComputationalTool']	['schema:Review', 'schema:Rating', 'schema:AggregateRating']	https://discovery.biothings.io/view/outbreak/evaluations
16	description	Unspecified	minimal or required	schema:Thing	schema:Text	https://schema.org/description
17	name	Unspecified	minimal or required	schema:Thing	schema:Text	https://schema.org/name
18	identifier	Unspecified	recommended	schema:Thing	['schema:URL', 'schema:Text', 'schema:PropertyValue']	https://schema.org/identifier
19	license	Unspecified	recommended	schema:CreativeWork	['schema:URL', 'schema:CreativeWork']	https://schema.org/license
20	applicationCategory	Unspecified	recommended	schema:SoftwareApplication	['schema:Text', 'schema:URL']	https://schema.org/applicationCategory
21	applicationSubCategory	Unspecified	recommended	schema:SoftwareApplication	['schema:URL', 'schema:Text']	https://schema.org/applicationSubCategory
22	downloadUrl	Unspecified	recommended	schema:SoftwareApplication	schema:URL	https://schema.org/downloadUrl
23	featureList	Unspecified	recommended	schema:SoftwareApplication	['schema:Text', 'schema:URL']	https://schema.org/featureList
24	softwareVersion	Unspecified	optional	schema:SoftwareApplication	schema:Text	https://schema.org/softwareVersion
25	softwareHelp	Unspecified	optional	schema:SoftwareApplication	schema:CreativeWork	https://schema.org/softwareHelp
